Ticker,MarketCap_KRW,Sector
420770.KQ,912654598144.0,Technology
425420.KQ,469583298560.0,Technology
437730.KQ,1887997132800.0,Industrials
441270.KQ,369853005824.0,Unknown
443060.KS,8262415024128.0,Industrials
445680.KQ,1776948215808.0,Unknown
448900.KQ,760764694528.0,Industrials
450080.KS,5073174265856.0,Industrials
452260.KS,610398306304.0,Consumer Cyclical
454910.KS,6903327883264.0,Industrials
455900.KQ,523058872320.0,Technology
456040.KS,786924306432.0,Industrials
457190.KS,2931230507008.0,Unknown
458870.KQ,1765623726080.0,Healthcare
460860.KS,508878913536.0,Basic Materials
460930.KQ,693312487424.0,Industrials
462350.KQ,284692611072.0,Industrials
464080.KQ,343381147648.0,Technology
475150.KS,971459133440.0,Utilities
489790.KS,4302242316288.0,Industrials
950160.KQ,8513535344640.0,Unknown
035760.KS,1655651127000.0,Communication Services
035900.KS,2515700433600.0,Communication Services
036930.KQ,2563428843520.0,Technology
041510.KS,2626020943000.0,Communication Services
054540.KQ,164968005632.0,Basic Materials
058430.KS,286350213120.0,Industrials
058470.KQ,8060112732160.0,Technology
064760.KQ,2515746947072.0,Technology
095340.KQ,3945496313856.0,Technology
101670.KQ,106663428096.0,Industrials
131970.KQ,1308220194816.0,Technology
137400.KQ,1269714780160.0,Industrials
140860.KQ,2005089386496.0,Technology
141080.KQ,6978863104000.0,Healthcare
145020.KQ,2916348854272.0,Healthcare
170920.KQ,230839910400.0,Basic Materials
214150.KQ,3815472889856.0,Healthcare
214450.KQ,3631181987840.0,Healthcare
222080.KQ,1136467116032.0,Industrials
237690.KQ,3152197189632.0,Healthcare
240810.KQ,6111154405376.0,Technology
357780.KQ,3411931299840.0,Basic Materials
403870.KQ,3622145097728.0,Industrials
009970.KS,2831595077632.0,Consumer Cyclical
018670.KS,2359887134720.0,Energy
000240.KS,2472143486976.0,Consumer Cyclical
